url,title,make,model,year,vin,mileage,location,sale_status,reserve_met,sold_price_usd,highest_bid_usd,auction_end_datetime_utc,number_of_bids,scraped_at_utc
https://bringatrailer.com/listing/2001-toyota-land-cruiser-67,"2001 Toyota Land Cruiser UZJ100 International USA P Premium NR No Reserve A Alumni This 2001 Toyota Land Cruiser is powered by a 4.7-liter 2UZ-FE V8 linked with a four-speed automatic transmission, a dual-range transfer case, and a locking center differential. It is finished in silver over gray leather and features 16"" five-spoke alloy wheels, Iron Man 2"" lift kit, fog lights, a power sunroof, a receiver hitch, heated front… 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $17,250 on 3/1/26 Bid: USD $17,250 Ended",Toyota,Land Cruiser,2001,,,,sold,True,17250,,2026-03-01T00:00:00+00:00,26,2026-03-02T00:08:24.713515+00:00
https://bringatrailer.com/listing/2005-toyota-land-cruiser-48,"2005 Toyota Land Cruiser UZJ100 International USA P Premium NR No Reserve A Alumni This 2005 Toyota Land Cruiser is finished in Thunder Cloud Metallic over Stone Gray leather, and it is powered by a 4.7-liter 2UZ-FE V8 linked with a five-speed automatic transmission, a dual-range transfer case, and a locking center differential. Features include 17"" Icon alloy wheels, Old Man Emu shocks, fog lights, a power sunroof, a receiver… 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $48,500 on 2/24/26 Bid: USD $48,500 Ended",Toyota,Land Cruiser,2005,,,,sold,True,48500,,2026-02-24T00:00:00+00:00,26,2026-03-02T00:08:24.713682+00:00
https://bringatrailer.com/listing/2000-toyota-land-cruiser-140,"2000 Toyota Land Cruiser UZJ100 International USA P Premium NR No Reserve A Alumni This 2000 Toyota Land Cruiser has remained registered in California since new and is finished in Natural White over beige leather upholstery. It is powered by a 4.7-liter 2UZ-FE V8 linked with a four-speed automatic transmission, a dual-range transfer case, and a locking center differential. Features include 16"" five-spoke alloy wheels, Bilstein… 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $18,250 on 2/23/26 Bid: USD $18,250 Ended",Toyota,Land Cruiser,2000,,,,sold,True,18250,,2026-02-23T00:00:00+00:00,26,2026-03-02T00:08:24.713844+00:00
https://bringatrailer.com/listing/1999-toyota-land-cruiser-125,"JDM 1999 Toyota Land Cruiser UZJ100 Cygnus International USA P Premium NR No Reserve A Alumni This 1999 Toyota Land Cruiser Cygnus was imported from Japan to the US following the seller's acquisition in 2025, and it has 155k kilometers (~97k miles). The black truck rides on 17"" Icon Alloys wheels and an Active Height Control suspension, and power is provided by a 4.7-liter 2UZ-FE V8 linked with a four-speed automatic transmission, a… 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $20,200 on 2/21/26 Bid: USD $20,200 Ended",Toyota,Land Cruiser,1999,,97000.0,,sold,True,20200,,2026-02-21T00:00:00+00:00,26,2026-03-02T00:08:24.714124+00:00
https://bringatrailer.com/listing/2000-toyota-land-cruiser-142,"2000 Toyota Land Cruiser UZJ100 International USA P Premium NR No Reserve A Alumni This 2000 Toyota Land Cruiser is powered by a 4.7-liter 2UZ-FE V8 linked with a four-speed automatic transmission, a dual-range transfer case, and a locking center differential. It is finished in black over gray leather upholstery and features 16"" five-spoke alloy wheels, fog lights, a power sunroof, a receiver hitch, heated front seats, third-row… 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $12,750 on 2/16/26 Bid: USD $12,750 Ended",Toyota,Land Cruiser,2000,,,,sold,True,12750,,2026-02-16T00:00:00+00:00,26,2026-03-02T00:08:24.714281+00:00
https://bringatrailer.com/listing/2000-toyota-land-cruiser-141,"402k-Mile 2000 Toyota Land Cruiser UZJ100 International USA P Premium NR No Reserve A Alumni This 2000 Toyota Land Cruiser has 402k miles following registration history in Texas and Virginia, and it is powered by a 4.7-liter 2UZ-FE V8 linked with a four-speed automatic transmission, a dual-range transfer case, and a locking center differential. It is finished in Riverock Green Mica over gray leather and features 16"" five-spoke alloy… 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $8,200 on 2/1/26 Bid: USD $8,200 Ended",Toyota,Land Cruiser,2000,,402000.0,,sold,True,8200,,2026-02-01T00:00:00+00:00,26,2026-03-02T00:08:24.714394+00:00
https://bringatrailer.com/listing/2007-toyota-land-cruiser-47,"Original-Owner 2007 Toyota Land Cruiser UZJ100 International USA P Premium NR No Reserve A Alumni This 2007 Toyota Land Cruiser was purchased new by the seller from Sloane Toyota in Malvern, Pennsylvania, and it is finished in Natural White over Stone leather upholstery. It is powered by a 4.7-liter 2UZ-FE V8 linked with a five-speed automatic transmission, a dual-range transfer case, a locking center differential. 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $18,000 on 1/31/26 Bid: USD $18,000 Ended",Toyota,Land Cruiser,2007,,,,sold,True,18000,,2026-01-31T00:00:00+00:00,26,2026-03-02T00:08:24.714545+00:00
https://bringatrailer.com/listing/2000-toyota-land-cruiser-139,"2000 Toyota Land Cruiser UZJ100W VX Limited G Selection International USA P Premium NR No Reserve A Alumni This 2000 Toyota Land Cruiser VX Limited is said to have remained with a single owner in Japan from new until it was imported to the US in May 2025, and it was subsequently acquired by the seller. Finished in White Pearl Mica over beige leather, the truck is powered by a 4.7-liter 2UZ-FE V8 linked with a four-speed automatic transmission, a… 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $17,000 on 1/30/26 Bid: USD $17,000 Ended",Toyota,Land Cruiser,2000,,,,sold,True,17000,,2026-01-30T00:00:00+00:00,26,2026-03-02T00:08:24.714705+00:00
https://bringatrailer.com/listing/2004-toyota-land-cruiser-91,"2004 Toyota Land Cruiser UZJ100 International USA P Premium NR No Reserve A Alumni This 2004 Toyota Land Cruiser spent over twenty years registered in California, and it now has 127k miles. Finished in Natural White over Ivory leather, it is powered by a 4.7-liter 2UZ-FE V8 linked with a replacement five-speed automatic transmission, a dual-range transfer case, and a locking center differential. 0 Comments 0 Views Views 0 Watchers Watchers Bid to USD $26,715 on 1/29/26 Bid: USD $26,715 Ended",Toyota,Land Cruiser,2004,,127000.0,,reserve_not_met,False,,26715,2026-01-29T00:00:00+00:00,26,2026-03-02T00:08:24.714831+00:00
https://bringatrailer.com/listing/2004-toyota-land-cruiser-85,"2004 Toyota Land Cruiser UZJ100 International USA P Premium NR No Reserve A Alumni This 2004 Toyota Land Cruiser is finished in Atlantis Blue Mica over gray leather, and it is powered by a 4.7-liter 2UZ-FE V8 linked with a five-speed automatic transmission, a dual-range transfer case, and a locking center differential. Features include 18"" five-spoke alloy wheels, fog lights, a power sunroof, a backup camera, power-adjustable… 0 Comments 0 Views Views 0 Watchers Watchers Sold for USD $19,220 on 1/23/26 Bid: USD $19,220 Ended",Toyota,Land Cruiser,2004,,,,sold,True,19220,,2026-01-23T00:00:00+00:00,26,2026-03-02T00:08:24.714979+00:00
